day,event,trial,genotype,RU
95,1,B,S106Foxo,P
95,1,B,S106Foxo,P
95,1,B,S106Foxo,P
98,1,B,S106Foxo,P
98,1,B,S106Foxo,P
100,1,B,S106Foxo,P
100,1,B,S106Foxo,P
7,1,B,foxonullS106Foxo,A
15,1,B,foxonullS106Foxo,A
15,1,B,foxonullS106Foxo,A
21,1,B,foxonullS106Foxo,A
23,1,B,foxonullS106Foxo,A
23,1,B,foxonullS106Foxo,A
28,1,B,foxonullS106Foxo,A
32,1,B,foxonullS106Foxo,A
32,1,B,foxonullS106Foxo,A
35,1,B,foxonullS106Foxo,A
37,1,B,foxonullS106Foxo,A
37,1,B,foxonullS106Foxo,A
37,1,B,foxonullS106Foxo,A
39,1,B,foxonullS106Foxo,A
39,1,B,foxonullS106Foxo,A
39,1,B,foxonullS106Foxo,A
39,1,B,foxonullS106Foxo,A
42,1,B,foxonullS106Foxo,A
42,1,B,foxonullS106Foxo,A
42,1,B,foxonullS106Foxo,A
42,1,B,foxonullS106Foxo,A
42,1,B,foxonullS106Foxo,A
42,1,B,foxonullS106Foxo,A
42,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
44,1,B,foxonullS106Foxo,A
46,1,B,foxonullS106Foxo,A
46,1,B,foxonullS106Foxo,A
46,1,B,foxonullS106Foxo,A
46,1,B,foxonullS106Foxo,A
46,1,B,foxonullS106Foxo,A
46,1,B,foxonullS106Foxo,A
46,1,B,foxonullS106Foxo,A
46,1,B,foxonullS106Foxo,A
46,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
49,1,B,foxonullS106Foxo,A
51,1,B,foxonullS106Foxo,A
51,1,B,foxonullS106Foxo,A
51,1,B,foxonullS106Foxo,A
51,1,B,foxonullS106Foxo,A
51,1,B,foxonullS106Foxo,A
51,1,B,foxonullS106Foxo,A
51,1,B,foxonullS106Foxo,A
51,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
53,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
56,1,B,foxonullS106Foxo,A
58,1,B,foxonullS106Foxo,A
58,1,B,foxonullS106Foxo,A
58,1,B,foxonullS106Foxo,A
58,1,B,foxonullS106Foxo,A
4,1,B,foxonullS106Foxo,P
7,1,B,foxonullS106Foxo,P
14,1,B,foxonullS106Foxo,P
28,1,B,foxonullS106Foxo,P
28,1,B,foxonullS106Foxo,P
30,1,B,foxonullS106Foxo,P
32,1,B,foxonullS106Foxo,P
35,1,B,foxonullS106Foxo,P
35,1,B,foxonullS106Foxo,P
35,1,B,foxonullS106Foxo,P
35,1,B,foxonullS106Foxo,P
37,1,B,foxonullS106Foxo,P
37,1,B,foxonullS106Foxo,P
39,1,B,foxonullS106Foxo,P
39,1,B,foxonullS106Foxo,P
44,1,B,foxonullS106Foxo,P
44,1,B,foxonullS106Foxo,P
44,1,B,foxonullS106Foxo,P
44,1,B,foxonullS106Foxo,P
46,1,B,foxonullS106Foxo,P
46,1,B,foxonullS106Foxo,P
46,1,B,foxonullS106Foxo,P
46,1,B,foxonullS106Foxo,P
46,1,B,foxonullS106Foxo,P
46,1,B,foxonullS106Foxo,P
46,1,B,foxonullS106Foxo,P
46,1,B,foxonullS106Foxo,P
46,1,B,foxonullS106Foxo,P
49,1,B,foxonullS106Foxo,P
49,1,B,foxonullS106Foxo,P
49,1,B,foxonullS106Foxo,P
49,1,B,foxonullS106Foxo,P
49,1,B,foxonullS106Foxo,P
49,1,B,foxonullS106Foxo,P
49,1,B,foxonullS106Foxo,P
51,1,B,foxonullS106Foxo,P
51,1,B,foxonullS106Foxo,P
51,1,B,foxonullS106Foxo,P
51,1,B,foxonullS106Foxo,P
51,1,B,foxonullS106Foxo,P
51,1,B,foxonullS106Foxo,P
51,1,B,foxonullS106Foxo,P
51,1,B,foxonullS106Foxo,P
51,1,B,foxonullS106Foxo,P
53,1,B,foxonullS106Foxo,P
53,1,B,foxonullS106Foxo,P
53,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
56,1,B,foxonullS106Foxo,P
58,1,B,foxonullS106Foxo,P
58,1,B,foxonullS106Foxo,P
58,1,B,foxonullS106Foxo,P
60,1,B,foxonullS106Foxo,P
60,1,B,foxonullS106Foxo,P
60,1,B,foxonullS106Foxo,P
60,1,B,foxonullS106Foxo,P
60,1,B,foxonullS106Foxo,P
60,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
63,1,B,foxonullS106Foxo,P
65,1,B,foxonullS106Foxo,P
70,1,B,foxonullS106Foxo,P
72,1,B,foxonullS106Foxo,P
53,0,B,S106Foxo,A
53,0,B,S106Foxo,A
53,0,B,S106Foxo,A
53,0,B,S106Foxo,A
53,0,B,S106Foxo,A
53,0,B,S106Foxo,A
74,0,B,S106Foxo,A
79,0,B,S106Foxo,P
46,0,B,foxonullS106Foxo,A
21,0,B,foxonullS106Foxo,P
28,0,B,foxonullS106Foxo,P
35,0,B,foxonullS106Foxo,P
35,0,B,foxonullS106Foxo,P
49,0,B,foxonullS106Foxo,P
49,0,B,foxonullS106Foxo,P
49,0,B,foxonullS106Foxo,P
49,0,B,foxonullS106Foxo,P
49,0,B,foxonullS106Foxo,P
