day,event,trial,genotype,RU
39,1,A,foxonullS106Foxo,P
39,1,A,foxonullS106Foxo,P
42,1,A,foxonullS106Foxo,P
42,1,A,foxonullS106Foxo,P
42,1,A,foxonullS106Foxo,P
44,1,A,foxonullS106Foxo,P
44,1,A,foxonullS106Foxo,P
46,1,A,foxonullS106Foxo,P
46,1,A,foxonullS106Foxo,P
46,1,A,foxonullS106Foxo,P
49,1,A,foxonullS106Foxo,P
49,1,A,foxonullS106Foxo,P
49,1,A,foxonullS106Foxo,P
49,1,A,foxonullS106Foxo,P
49,1,A,foxonullS106Foxo,P
49,1,A,foxonullS106Foxo,P
49,1,A,foxonullS106Foxo,P
49,1,A,foxonullS106Foxo,P
51,1,A,foxonullS106Foxo,P
51,1,A,foxonullS106Foxo,P
51,1,A,foxonullS106Foxo,P
51,1,A,foxonullS106Foxo,P
51,1,A,foxonullS106Foxo,P
51,1,A,foxonullS106Foxo,P
51,1,A,foxonullS106Foxo,P
53,1,A,foxonullS106Foxo,P
53,1,A,foxonullS106Foxo,P
53,1,A,foxonullS106Foxo,P
53,1,A,foxonullS106Foxo,P
53,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
56,1,A,foxonullS106Foxo,P
58,1,A,foxonullS106Foxo,P
58,1,A,foxonullS106Foxo,P
58,1,A,foxonullS106Foxo,P
58,1,A,foxonullS106Foxo,P
58,1,A,foxonullS106Foxo,P
58,1,A,foxonullS106Foxo,P
58,1,A,foxonullS106Foxo,P
58,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
60,1,A,foxonullS106Foxo,P
63,1,A,foxonullS106Foxo,P
